,Time,TotalEmployed,TotalEmployed_M,TotalEmployed_F,Employment_To_Population_Ratio,Employment_To_Population_Ratio_M,Employment_To_Population_Ratio_F,TotalUnemployed,TotalUnemployed_M,TotalUnemployed_F,Population 15 and over,Population 15 and over_M,Population 15 and over_F
244,Jun-98,8516.8,4801.8,3715.0,58.2,66.8,49.9,702.8,419.9,282.9,14633.9,7186.3,7447.6
245,Jul-98,8541.9,4811.0,3730.8,58.3,66.9,50.0,686.7,412.6,274.1,14649.3,7193.5,7455.7
256,Jun-99,8673.2,4897.8,3775.5,58.5,67.3,50.0,600.6,348.6,252.0,14826.6,7277.7,7548.9
257,Jul-99,8706.7,4911.5,3795.2,58.7,67.4,50.2,575.5,337.3,238.2,14843.2,7285.6,7557.6
268,Jun-00,8922.0,4980.8,3941.2,59.3,67.5,51.5,564.3,327.3,237.0,15033.3,7377.1,7656.3
269,Jul-00,9020.0,5030.6,3989.4,59.9,68.1,52.0,525.6,311.7,213.9,15050.4,7385.3,7665.2
280,Jun-01,9021.9,4996.6,4025.3,59.1,66.7,51.8,651.5,374.4,277.1,15262.4,7486.6,7775.9
281,Jul-01,9048.9,5028.4,4020.5,59.2,67.1,51.6,611.9,359.5,252.3,15279.8,7495.6,7784.2
292,Jun-02,9180.8,5109.2,4071.6,59.3,67.2,51.7,619.7,348.2,271.5,15479.3,7598.1,7881.2
293,Jul-02,9194.5,5116.4,4078.2,59.3,67.3,51.7,553.0,314.9,238.0,15496.1,7606.3,7889.9
304,Jun-03,9370.4,5155.4,4215.0,59.7,66.9,52.7,587.6,330.9,256.6,15699.4,7706.7,7992.7
305,Jul-03,9363.9,5172.9,4191.0,59.6,67.0,52.4,557.6,308.9,248.7,15716.1,7715.5,8000.6
316,Jun-04,9543.3,5290.3,4253.0,60.0,67.7,52.5,537.3,294.0,243.3,15907.2,7812.6,8094.6
317,Jul-04,9553.1,5301.7,4251.5,60.0,67.8,52.5,512.3,275.0,237.3,15925.4,7822.0,8103.4
328,Jun-05,9896.6,5449.9,4446.7,61.3,68.7,54.2,502.5,265.3,237.2,16141.5,7930.7,8210.8
329,Jul-05,9912.3,5466.0,4446.3,61.3,68.8,54.1,473.6,246.9,226.7,16162.2,7941.4,8220.8
340,Jun-06,10120.8,5546.6,4574.2,61.7,68.8,54.9,498.2,265.6,232.6,16396.4,8061.1,8335.4
341,Jul-06,10170.8,5588.4,4582.4,61.9,69.2,54.9,454.6,246.7,207.9,16422.8,8074.6,8348.2
352,Jun-07,10436.3,5742.6,4693.7,62.4,69.8,55.2,459.0,230.0,229.0,16727.9,8232.0,8495.9
353,Jul-07,10456.8,5761.0,4695.8,62.4,69.9,55.2,426.1,210.1,216.0,16754.7,8245.6,8509.1
364,Jun-08,10745.0,5890.2,4854.8,62.9,69.9,56.0,462.7,236.4,226.2,17094.3,8421.6,8672.7
365,Jul-08,10762.0,5901.9,4860.0,62.8,69.9,55.9,439.8,214.0,225.8,17127.6,8439.2,8688.4
376,Jun-09,10770.9,5842.7,4928.3,61.6,67.8,55.6,654.7,376.0,278.7,17474.7,8616.9,8857.8
377,Jul-09,10808.8,5880.2,4928.6,61.8,68.1,55.6,601.7,346.2,255.5,17503.1,8630.9,8872.2
388,Jun-10,11009.3,6006.1,5003.1,61.9,68.5,55.5,580.3,312.5,267.8,17772.8,8762.0,9010.8
389,Jul-10,11030.5,6027.2,5003.3,62.0,68.7,55.5,572.0,301.9,270.1,17793.8,8772.0,9021.9
400,Jun-11,11221.3,6098.1,5123.1,62.2,68.6,56.0,564.2,292.6,271.6,18045.9,8894.2,9151.7
401,Jul-11,11225.7,6110.3,5115.4,62.1,68.6,55.8,562.5,295.4,267.1,18067.6,8903.3,9164.3
412,Jun-12,11356.0,6169.2,5186.8,61.8,68.1,55.7,599.3,306.8,292.5,18369.6,9053.0,9316.6
413,Jul-12,11368.8,6170.4,5198.4,61.8,68.1,55.7,583.4,314.3,269.1,18396.6,9066.5,9330.1
424,Jun-13,11492.5,6224.2,5268.3,61.5,67.6,55.6,673.4,367.6,305.8,18691.9,9209.5,9482.4
425,Jul-13,11480.0,6220.3,5259.7,61.3,67.5,55.4,647.2,356.5,290.7,18717.3,9220.8,9496.5
436,Jun-14,11553.2,6227.4,5325.9,60.9,66.7,55.3,721.8,389.7,332.2,18976.0,9338.3,9637.7
437,Jul-14,11542.2,6224.4,5317.8,60.8,66.6,55.1,741.7,405.5,336.2,18999.4,9349.0,9650.4
448,Jun-15,11752.9,6316.7,5436.2,61.0,66.7,55.5,729.7,391.8,337.9,19256.1,9466.8,9789.3
449,Jul-15,11759.9,6323.7,5436.2,61.0,66.7,55.5,771.0,404.0,367.0,19279.6,9477.4,9802.2
460,Jun-16,11991.3,6406.1,5585.2,61.3,66.7,56.1,703.5,356.7,346.9,19555.8,9603.9,9951.9
461,Jul-16,11995.3,6412.3,5582.9,61.2,66.7,56.0,708.8,373.5,335.3,19585.6,9617.8,9967.8
472,Jun-17,12255.0,6523.4,5731.6,61.6,66.8,56.6,706.1,370.9,335.2,19900.3,9770.6,10129.7
473,Jul-17,12260.9,6539.7,5721.2,61.5,66.8,56.4,712.3,384.2,328.2,19928.9,9784.1,10144.8
484,Jun-18,12608.4,6671.0,5937.3,62.3,67.2,57.7,687.9,375.0,312.9,20228.4,9931.0,10297.5
485,Jul-18,12575.4,6680.8,5894.5,62.1,67.2,57.2,689.9,374.7,315.2,20259.5,9946.2,10313.3
496,Jun-19,12889.7,6833.6,6056.1,62.7,67.7,57.9,692.0,363.0,328.9,20561.4,10093.9,10467.5
497,Jul-19,12887.3,6829.1,6058.2,62.6,67.6,57.8,702.6,375.0,327.6,20592.3,10108.4,10483.9
508,Jun-20,12391.6,6553.9,5837.7,59.4,64.1,54.9,966.4,513.4,452.9,20854.5,10230.6,10623.9
509,Jul-20,12472.5,6592.5,5880.1,59.8,64.4,55.4,994.4,531.1,463.3,20852.4,10229.3,10623.1
